shot_id,game_date,action_type,loc_x,loc_y,total_seconds_remaining,period,playoffs,season,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,opponent,Home_vs_Away,lat,lon
2,10/31/2000,Jump Shot,-157,0,622,1,0,2000-01,15,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,POR,Away,34.0443,-118.4268
4,10/31/2000,Jump Shot,138,175,412,1,0,2000-01,22,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,POR,Away,33.8693,-118.1318
6,10/31/2000,Jump Shot,-145,-11,572,3,0,2000-01,14,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,POR,Away,34.0553,-118.4148
10,10/31/2000,Running Jump Shot,-33,125,216,3,0,2000-01,12,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,POR,Away,33.9193,-118.3028
11,10/31/2000,Jump Shot,-94,238,116,3,0,2000-01,25,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,POR,Away,33.8063,-118.3638
14,11/1/2000,Jump Shot,-94,4,164,1,0,2000-01,9,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,UTA,Home,34.0403,-118.3638
15,11/1/2000,Jump Shot,-23,47,76,1,0,2000-01,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,UTA,Home,33.9973,-118.2928
16,11/1/2000,Jump Shot,62,192,48,1,0,2000-01,20,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,UTA,Home,33.8523,-118.2078
19,11/1/2000,Jump Shot,-132,97,689,3,0,2000-01,16,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,UTA,Home,33.9473,-118.4018
21,11/1/2000,Jump Shot,3,144,608,3,0,2000-01,14,0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,UTA,Home,33.9003,-118.2668
22,11/1/2000,Jump Shot,134,127,544,3,0,2000-01,18,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,UTA,Home,33.9173,-118.1358
26,11/1/2000,Layup Shot,0,0,156,3,0,2000-01,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,UTA,Home,34.0443,-118.2698
27,11/1/2000,Jump Shot,-58,196,124,3,0,2000-01,20,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,UTA,Home,33.8483,-118.3278
28,11/1/2000,Jump Shot,-183,186,30,3,0,2000-01,26,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,UTA,Home,33.8583,-118.4528
29,11/1/2000,Jump Shot,85,173,499,4,0,2000-01,19,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,UTA,Home,33.8713,-118.1848
30,11/1/2000,Jump Shot,3,87,382,4,0,2000-01,8,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,UTA,Home,33.9573,-118.2668
32,11/1/2000,Jump Shot,127,34,30,4,0,2000-01,13,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,UTA,Home,34.0103,-118.1428
41,11/4/2000,Jump Shot,-176,66,672,3,0,2000-01,18,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,VAN,Away,33.9783,-118.4458
44,11/4/2000,Jump Shot,49,15,509,3,0,2000-01,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,VAN,Away,34.0293,-118.2208
47,11/4/2000,Reverse Dunk Shot,-4,4,175,3,0,2000-01,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,VAN,Away,34.0403,-118.2738
51,11/4/2000,Layup Shot,1,9,68,4,0,2000-01,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,VAN,Away,34.0353,-118.2688
52,11/4/2000,Layup Shot,-12,9,66,4,0,2000-01,1,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,VAN,Away,34.0353,-118.2818
53,11/5/2000,Jump Shot,24,70,633,1,0,2000-01,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,LAC,Home,33.9743,-118.2458
54,11/5/2000,Jump Shot,-189,-4,604,1,0,2000-01,18,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,LAC,Home,34.0483,-118.4588
56,11/5/2000,Jump Shot,-155,194,153,1,0,2000-01,24,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,LAC,Home,33.8503,-118.4248
61,11/5/2000,Jump Shot,-33,108,122,2,0,2000-01,11,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,LAC,Home,33.9363,-118.3028
63,11/5/2000,Driving Layup Shot,0,0,572,3,0,2000-01,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,LAC,Home,34.0443,-118.2698
64,11/5/2000,Driving Layup Shot,56,21,37,3,0,2000-01,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,LAC,Home,34.0233,-118.2138
68,11/7/2000,Jump Shot,231,57,497,1,0,2000-01,23,0,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,HOU,Away,33.9873,-118.0388
